CL,20,L-Gante,Frijo,DT.Bilardo
CL,21,Paloma Mami
CL,22,Cazzu
CL,23,Dom La Nena,Julieta Venegas
CL,24,La Vela Puerca
CL,25,Villa Cariño
CL,26,Roman El Original,L-Gante,Perro Primo
CL,27,Lit Killah
CL,28,Ulises Bueno
CL,29,José González
CL,30,Chule Von Wernich
CL,31,KAROL G,Anuel AA,J Balvin
CL,32,Nicky Jam,Romeo Santos
CL,33,Dua Lipa
CL,34,Migrantes,Nico Valdi
CL,35,Abel Pintos
CL,36,Sia
CL,37,Fuego
CL,38,Rita Ora,Imanbek
CL,39,Kings of Leon
CL,40,Fabiana Cantilo
CL,41,CELLI
CL,42,Kiddtetoon,Polimá Westcoast,Julianno Sosa
CL,43,Evaluna Montaner
CL,44,Kudai
CL,45,Christian Löffler
CL,46,Los Legendarios
CL,47,Cardi B
CL,48,KHEA
CL,49,Foo Fighters
CL,50,CNCO
CO,1,Camilo
CO,2,Kings of Leon
CO,3,Aerophon
CO,4,C. Tangana
CO,5,Briela Ojeda
CO,6,Diamante Eléctrico
CO,7,Christian Löffler
CO,8,Kevin Roldan
CO,9,Maluma
CO,10,Anuel AA,Ozuna
CO,11,Danna Paola
CO,12,ZAYN
CO,13,Mitú
CO,14,Death Cab for Cutie
CO,15,MY FIRST STORY
CO,16,Bad Bunny
CO,17,Miley Cyrus
CO,18,Los Rolling Ruanas
CO,19,The Smashing Pumpkins
CO,20,MIEL
CO,21,Kali Uchis
CO,22,Alfredo Gutierrez
CO,23,Megan Thee Stallion
CO,24,Ava Max
CO,25,Los Auténticos Decadentes
CO,26,Volcán
CO,27,Nanpa Básico
CO,28,BENEE
CO,29,Aya Nakamura
CO,30,Beto Zabaleta,Los Betos
CO,31,El Cuatro
CO,32,Montañera
CO,33,Julián Mayorga
CO,34,Frente Cumbiero
CO,35,Kylie Minogue
CO,36,TIMØ
CO,37,Billo's
CO,38,Cauty
CO,39,Little Mix
CO,40,Ariana Grande
CO,41,Sam Smith
CO,42,Danna Paola
CO,43,Los 50 De Joselito
CO,44,Agrupacion Changó,Prieto Riddiman
CO,45,OKRAA
CO,46,Lucille Dupin
CO,47,Ela Minus
CO,48,Gorillaz
CO,49,Major Lazer
CO,50,Jaycob Duque
CR,1,Christian Löffler
CR,2,MY FIRST STORY
CR,3,Vicente Fernández
CR,4,C. Tangana,Niño de Elche,La Húngara
CR,5,Cauty
CR,6,Amenazzy,Mau y Ricky,Yandel
CR,7,Arcangel
CR,8,Maluma
CR,9,Ozuna
CR,10,De La Ghetto
CR,11,Anuel AA
CR,12,Sech
CR,13,El Alfa
CR,14,Bad Bunny
CR,15,J Alvarez,Casper Magico
CR,16,Rafa Pabön
CR,17,Alexis y Fido,Baby Rasta & Gringo
CR,18,Ñengo Flow,John Jay
CR,19,Corina Smith,Lyanno
CR,20,Ir Sais
CR,21,Cauty,Brray
CR,22,Joyce Santana,Big Soto
CR,23,BiSH
CR,24,Pabllo Vittar
CR,25,Lunay,Myke Towers,Ozuna
CR,26,Rauw Alejandro,Dalex,Lenny Tavárez
CR,27,Lary Over,Rauw Alejandro,Lil Geniuz
CR,28,Lola Indigo,Rauw Alejandro,Lalo Ebratt
CR,29,Camilo
CR,30,J Balvin
CR,31,Dalex
CR,32,Chimbala,Juan Magán,Omar Montes
CR,33,Jorge Milliano,Logan Romero
CR,34,Pabllo Vittar,Thalia
CR,35,Bizarrap,Don Patricio
CR,36,Mau y Ricky
CR,37,Leebrian,Cauty,Rauw Alejandro
CR,38,El Alfa,Lil Pump
CR,39,Ozuna
CR,40,Logan Romero
CR,41,Mark B.,Lunay,Lirico En La Casa
CR,42,J Balvin
CR,43,Ricky Martin,Residente,Bad Bunny
CR,44,Brytiago,Myke Towers
CR,45,Lunay
CR,46,Diamond la Mafia,Atomic Otro Way,Bulova
CR,47,MC Davo
CR,48,Ozuna
CR,49,Chucho Rivas,Lalo Ebratt
CR,50,Jonas Brothers
DO,1,Christian Löffler
DO,2,MY FIRST STORY
DO,3,Vicente Fernández
DO,4,C. Tangana,Niño de Elche,La Húngara
DO,5,Cauty
DO,6,Amenazzy,Mau y Ricky,Yandel
DO,7,Arcangel
DO,8,Maluma
DO,9,Ozuna
DO,10,De La Ghetto
DO,11,Anuel AA
