Rochy RD,Myke Towers,Nicki Nicole
Myke Towers,Juhn
Bad Bunny,ROSALÍA
Boza
KAROL G
Selena Gomez,Rauw Alejandro
Bad Bunny,Jhay Cortez
Papu DJ,L-Gante
Migrantes,Alico
Manuel Turizo,Rauw Alejandro,Myke Towers
Maria Becerra,Cazzu
Rauw Alejandro,Anuel AA
Camilo
Maluma
El Reja,Lira
Sebastian Yatra,Guaynaa
Camilo,El Alfa
Sech
Nicky Jam,Myke Towers
Camilo
Ozuna,J Balvin,Chencho Corleone
Sech,Daddy Yankee,J Balvin,ROSALÍA,Farruko
#TocoParaVos,El Reja,Marka Akme
Milly,Farruko,Nio Garcia,Jay Wheeler,Amenazzy
Farruko
Justin Quiles
Justin Quiles
Wisin,Myke Towers,Los Legendarios
Ozuna,Camilo
Bizarrap,Nathy Peluso
El Reja,Agustín Casanova,The La Planta
Nicky Jam,Romeo Santos
Maluma,Lenny Tavárez,Justin Quiles
Maria Becerra,Rusherking
The La Planta,Nestor En Bloque,Marka Akme,MOMO,Pushi
Kevin Roldan,Bryant Myers,Lyanno
Jay Wheeler,DJ Nelson,Myke Towers
Nicki Nicole,Dread Mar I,Bizarrap
Kali Uchis
Lele Pons,Guaynaa
KAROL G,Anuel AA,J Balvin
Camilo,Evaluna Montaner
Bad Bunny
Rauw Alejandro,J Balvin
Rauw Alejandro,Camilo
Bizarrap,YSY A
Luck Ra
Migrantes,Oscu,Rombai,Agapornis,Alico,Nico Valdi
Dame 5,The La Planta
Olivia Rodrigo
