Kali Uchis
Rochy RD,Myke Towers,Nicki Nicole
Los Legendarios,Wisin,Jhay Cortez
Masked Wolf
Milly,Farruko,Nio Garcia,Jay Wheeler,Amenazzy
Mora,Lunay
Olivia Rodrigo
Myke Towers,Juhn
Selena Gomez,Rauw Alejandro
Doja Cat
Nicky Jam,Romeo Santos
Saweetie,Doja Cat
Bad Bunny,ROSALÍA
Giveon
CNCO
Cardi B
Alejandro Santamaria,Yera
The Weeknd
Agust D
Mora,Jhay Cortez
El Fantasma,Los Dos Carnales
Papu DJ,L-Gante
Kevin Roldan,Bryant Myers,Lyanno
Humbe
Akim,Dalex,Beéle,Boza
Silvestre Dangond
Mother Mother
ATB,Topic,A7S
Dirty Heads
Boza
Mora
Marconi Union
Lyanno,Rauw Alejandro,Lenny Tavárez,Maria Becerra
Hippie Sabotage
Daft Punk,Julian Casablancas
Kim Dracula
Mora
347aidan
Evaluna Montaner
vf7,Jay Wheeler
Daft Punk
Daft Punk
ElyOtto
CNCO
Bring Me The Horizon
The 1975
KAROL G
"Grover Washington, Jr."
Rauw Alejandro,Anuel AA
MGMT
