Kali Uchis
Los Legendarios,Wisin,Jhay Cortez
Rochy RD,Myke Towers,Nicki Nicole
Giveon
Masked Wolf
Humbe
Papu DJ,L-Gante
Akim,Dalex,Beéle,Boza
Duncan Laurence
Selena Gomez,Rauw Alejandro
Doja Cat
ATB,Topic,A7S
Mora
ElyOtto
Olivia Rodrigo
Mora,Lunay
The Weeknd
Mora,Jhay Cortez
Myke Towers,Juhn
Sech
Leat'eq
Milly,Farruko,Nio Garcia,Jay Wheeler,Amenazzy
Daft Punk
Marconi Union
Nicky Jam,Romeo Santos
El David
Evaluna Montaner
vf7,Jay Wheeler
Dirty Heads
Mother Mother
Kevin Roldan,Bryant Myers,Lyanno
Mora
kostromin
Eve
The Nino,Jocas,ElChinoRB,ElCanelilla
Mora
Edith Whiskers
AURORA
Kim Dracula
Alejandro Santamaria,Yera
Nathy Peluso
Bad Bunny,ROSALÍA
Cardi B
Bring Me The Horizon
Roar
"Grover Washington, Jr."
347aidan
Yan Block,Jay Wheeler,DJ Nelson
Eyedress
Glass Animals
