Christian Löffler
MY FIRST STORY
Vicente Fernández
C. Tangana,Niño de Elche,La Húngara
Cauty
Amenazzy,Mau y Ricky,Yandel
Arcangel
Maluma
Ozuna
De La Ghetto
Anuel AA
Sech
El Alfa
Bad Bunny
J Alvarez,Casper Magico
Rafa Pabön
Alexis y Fido,Baby Rasta & Gringo
Ñengo Flow,John Jay
Corina Smith,Lyanno
Ir Sais
Cauty,Brray
Joyce Santana,Big Soto
BiSH
Pabllo Vittar
Lunay,Myke Towers,Ozuna
Rauw Alejandro,Dalex,Lenny Tavárez
Lary Over,Rauw Alejandro,Lil Geniuz
Lola Indigo,Rauw Alejandro,Lalo Ebratt
Camilo
J Balvin
Dalex
Chimbala,Juan Magán,Omar Montes
Jorge Milliano,Logan Romero
Pabllo Vittar,Thalia
Bizarrap,Don Patricio
Mau y Ricky
Leebrian,Cauty,Rauw Alejandro
El Alfa,Lil Pump
Ozuna
Logan Romero
Mark B.,Lunay,Lirico En La Casa
J Balvin
Ricky Martin,Residente,Bad Bunny
Brytiago,Myke Towers
Lunay
Diamond la Mafia,Atomic Otro Way,Bulova
MC Davo
Ozuna
Chucho Rivas,Lalo Ebratt
Jonas Brothers
