Camilo
Rusherking,KHEA,Duki
Justin Bieber
No Te Va Gustar,Nicki Nicole
Maroon 5,Megan Thee Stallion
Perro Primo,L-Gante,DT.Bilardo
Drake
Nestor En Bloque
DJ Snake,Selena Gomez
Juice WRLD
Nick Jonas
C.R.O,Joaco Tdeb,Ignacio Gabriel De Tommaso
Cardellino
C. Tangana
Angela Torres
Mon Laferte,La Arrolladora Banda El Limón De Rene Camacho
Gianluca
Andrés Calamaro
Maria Becerra
L-Gante,Frijo,DT.Bilardo
Paloma Mami
Cazzu
Dom La Nena,Julieta Venegas
La Vela Puerca
Villa Cariño
Roman El Original,L-Gante,Perro Primo
Lit Killah
Ulises Bueno
José González
Chule Von Wernich
KAROL G,Anuel AA,J Balvin
Nicky Jam,Romeo Santos
Dua Lipa
Migrantes,Nico Valdi
Abel Pintos
Sia
Fuego
Rita Ora,Imanbek
Kings of Leon
Fabiana Cantilo
CELLI
Kiddtetoon,Polimá Westcoast,Julianno Sosa
Evaluna Montaner
Kudai
Christian Löffler
Los Legendarios
Cardi B
KHEA
Foo Fighters
CNCO
